receiveTime,stationID,doseRate,errorFlag
18/02/15 00:00,1,6552.72,0
18/02/15 00:00,2,9028.6,0
18/02/15 00:00,3,2052.73,0
18/02/15 00:00,4,19100.7,0
18/02/15 01:00,1,1835.87,0
18/02/15 01:00,2,36878.8,0
18/02/15 01:00,3,31375.6,0
18/02/15 01:00,4,15535.9,0
18/02/15 02:00,1,3338.94,0
18/02/15 02:00,2,41578.7,0
18/02/15 02:00,3,5546.91,0
18/02/15 02:00,4,28194.5,0
18/02/15 03:00,1,7636.9,0
18/02/15 03:00,2,18918.3,0
18/02/15 03:00,3,13.0977,0
18/02/15 03:00,4,41181.4,0
18/02/15 04:00,1,5974.59,0
18/02/15 04:00,2,31568.1,0
18/02/15 04:00,3,29029.2,0
18/02/15 04:00,4,9321.49,0
18/02/15 05:00,1,10122.2,0
18/02/15 05:00,2,7848.76,0
18/02/15 05:00,3,14684.7,0
18/02/15 05:00,4,7285.14,0
18/02/15 06:00,1,4217.53,0
18/02/15 06:00,2,32356.6,0
18/02/15 06:00,3,3231.92,0
18/02/15 06:00,4,11574.6,0
18/02/15 07:00,1,40635.7,0
18/02/15 07:00,2,9851.36,0
18/02/15 07:00,3,21153.1,0
18/02/15 07:00,4,25502.3,0
18/02/15 08:00,1,32188.4,0
18/02/15 08:00,2,28265.1,0
18/02/15 08:00,3,1729.12,0
18/02/15 08:00,4,6275.03,0
18/02/15 09:00,1,18911,0
18/02/15 09:00,2,4285.77,0
18/02/15 09:00,3,31702.6,0
18/02/15 09:00,4,28249,0
18/02/15 10:00,1,4547.24,0
18/02/15 10:00,2,18819.9,0
18/02/15 10:00,3,16441.4,0
18/02/15 10:00,4,36987.8,0
18/02/15 11:00,1,37195.3,0
18/02/15 11:00,2,14880.6,0
18/02/15 11:00,3,12239.3,0
18/02/15 11:00,4,1771.32,0
18/02/15 12:00,1,32314.9,0
18/02/15 12:00,2,2838.73,0
18/02/15 12:00,3,41513.9,0
18/02/15 12:00,4,1412.2,0
18/02/15 13:00,1,1377.76,0
18/02/15 13:00,2,27120.1,0
